Aluminum 6061 T651,
Strain(in/in),Stress (psi)
0.00381475,666.4015098
0.00457775,713.9893625
0.00381475,713.9893625
0.00305175,713.9893625
0.00305175,713.9893625
0.00381475,713.9893625
0.00381475,713.9893625
0.00381475,761.5928127
0.00305175,713.9893625
0.00381475,666.4015098
0.00305175,713.9893625
0.00381475,761.5928127
0.0053405,1237.596119
0.00839225,3236.785051
0.01297,4569.588071
0.01525875,5616.801585
0.0183105,6711.587354
0.02288825,7758.800867
0.02594,9139.176142
0.029755,10424.25093
0.0328075,11852.35444
0.0358575,13232.72971
0.03891,14613.10499
0.042725,16135.57313
0.04654,17564.30053
0.04959,19088.17245
0.0526425,20658.83674
0.055695,22229.50104
0.05951,23990.45435
0.06256,25561.11865
0.066375,27275.27958
0.068665,28941.08839
0.07248,30702.04171
0.0770575,32558.13953
0.0801075,34272.30047
0.08316,36033.25379
0.0862125,37650.71046
0.089265,39174.58238
0.0930775,40269.52412
0.09613,40650.10216
0.0991825,40745.24667
0.1029975,40888.74331
0.1060475,40983.88782
0.1091,41079.03233
0.112915,41220.96923
0.11673,41269.32135
0.1197825,41411.25825
0.123595,41459.61038
0.125885,41459.61038
0.1297,41601.54727
0.133515,41649.8994
0.136565,41745.04391
0.14038,41791.83629
0.1434325,41935.33293
0.1472475,42030.47744
0.1503,42030.47744
0.15335,42173.97408
0.157165,42269.11859
0.16098,42364.2631
0.1640325,42411.05548
0.1670825,42506.19999
0.170135,42601.3445
0.17395,42649.69663
0.1770025,42839.98565
0.1808175,42886.77803
0.1838675,42935.13016
0.18692,43077.06705
0.190735,43125.41918
0.1937875,43172.21156
0.1968375,43267.35607
0.2006525,43364.06033
0.2044675,43364.06033
0.2067575,43505.99722
0.2105725,43505.99722
0.2136225,43601.14173
0.2174375,43696.28624
0.22049,43744.63837
0.224305,43839.78288
0.227355,43886.57527
0.2304075,43934.92739
0.23346,43981.71978
0.237275,44076.86429
0.24109,44125.21641
0.2449025,44125.21641
0.247955,44220.36093
0.251,44220.36093
0.25405,44220.36093
0.257875,44267.15331
0.2617,44267.15331
0.26475,44362.29782
0.2678,44362.29782
0.2716,44410.64995
0.27465,44457.44233
0.278475,44410.64995
0.281525,44505.79446
0.284575,44505.79446
0.2884,44505.79446
0.29145,44552.58684
0.29525,44552.58684
0.29755,44600.93897
0.30135,44600.93897
0.305175,44552.58684
0.308225,44410.64995
0.311275,44362.29782
0.3151,44125.21641
0.31815,43649.49386
0.32195,43125.41918
0.325,42411.05548
0.328825,41649.8994
0.331875,40698.45429
0.334925,39698.65706
0.33875,38460.21868
0.341025,36984.69889
0.34485,35175.39345
0.348675,16374.21428
